trade_date	broker_account	commission_total	currency_code	source_document	source_reference	source_version	evidence_status
2026-05-04	DEFAULT	1880.85	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-04	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-05	DEFAULT	706.38	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-05	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-06	DEFAULT	1007.37	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-06	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-07	DEFAULT	881.92	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-07	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-11	DEFAULT	9.90	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-11	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-12	DEFAULT	27.90	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-12	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-13	DEFAULT	9.45	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-13	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-14	DEFAULT	7.20	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-14	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-15	DEFAULT	9.00	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-15	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-18	DEFAULT	7.65	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-18	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-19	DEFAULT	17.55	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-19	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-20	DEFAULT	4.50	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-20	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-21	DEFAULT	14.40	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-21	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-22	DEFAULT	1.80	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-22	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-25	DEFAULT	3.60	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-25	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-26	DEFAULT	3.60	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-26	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-27	DEFAULT	3.60	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-27	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-28	DEFAULT	35.10	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-28	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
2026-05-29	DEFAULT	2.70	RUB	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-29	FINAM_FUTURES_REPORT_2026_05_V1	VERIFIED
