symbol	asset_class	board	group_name	enabled
SBER@MISX	EQUITY	TQBR	EQUITY_TOP	1
GAZP@MISX	EQUITY	TQBR	EQUITY_TOP	1
LKOH@MISX	EQUITY	TQBR	EQUITY_TOP	1
ROSN@MISX	EQUITY	TQBR	EQUITY_TOP	1
NVTK@MISX	EQUITY	TQBR	EQUITY_TOP	1
GMKN@MISX	EQUITY	TQBR	EQUITY_TOP	1
PLZL@MISX	EQUITY	TQBR	EQUITY_TOP	1
CHMF@MISX	EQUITY	TQBR	EQUITY_TOP	1
MAGN@MISX	EQUITY	TQBR	EQUITY_TOP	1
RUAL@MISX	EQUITY	TQBR	EQUITY_TOP	1
VTBR@MISX	EQUITY	TQBR	EQUITY_TOP	1
AFLT@MISX	EQUITY	TQBR	EQUITY_TOP	1
MOEX@MISX	EQUITY	TQBR	EQUITY_TOP	1
YDEX@MISX	EQUITY	TQBR	EQUITY_TOP	1
T@MISX	EQUITY	TQBR	EQUITY_TOP	1
POSI@MISX	EQUITY	TQBR	EQUITY_TOP	1
OZON@MISX	EQUITY	TQBR	EQUITY_TOP	1
FESH@MISX	EQUITY	TQBR	EQUITY_TOP	1
MDMG@MISX	EQUITY	TQBR	EQUITY_TOP	1
MTSS@MISX	EQUITY	TQBR	EQUITY_TOP	1
BR_CONT	FUTURES	RTSX	ENERGY	1
NG_CONT	FUTURES	RTSX	ENERGY	1
USDRUB_CONT	FUTURES	RTSX	FX	1
